education_spending_percent_gdp,urbanization_rate,avg_income_usd,population_density,school_availability_index,teacher_student_ratio,internet_penetration,gender_equality_index,adult_education_programs,language_diversity,region_type,government_stability,literacy_rate_percent
4.847705807161237,70.93779409218365,20098.745559354258,503.0016861126606,0.5269402007583006,35.269096695127686,90.7552423737381,,,Bilingual,Least Developed,High,66.51644114465826
7.281657369397529,64.53869723931805,50606.68629525987,737.7947982140128,0.5244183130511091,,90.19700898220927,0.5002051097911433,Extensive,Multilingual,Least Developed,,85.43109139877204
3.8331099541816216,63.5335919137399,53415.19775714729,,0.8553854823074698,16.078349142119336,60.91564836858448,0.9217712442663285,None,Monolingual,Developing,Low,67.06341542250965
,37.96446839927975,10943.100757329667,343.5721548626715,0.8641937019598205,40.721066068883616,28.89017004146918,0.8625889481705906,Limited,,Developing,High,58.28899614209065
2.6978660167549906,74.76189370441912,26233.323358962887,753.2600010125595,0.9322699467756126,38.795291105187474,72.05647257605868,0.682090786631795,Extensive,,Least Developed,Low,87.01636933171594
4.679794045091668,92.5131901035569,26990.94844113297,398.20682304784503,0.5755437744338472,,26.783740408803215,0.9992146231897743,Extensive,Multilingual,Developed,Medium,59.520891111837805
3.1814779151679393,52.30660489042479,36880.22540268089,461.0391133305375,0.543117832386048,33.878537374298446,62.5174003475434,,Extensive,Bilingual,Developed,High,75.68235820323272
2.6593417740619483,57.008459408930904,26793.65945750879,105.01045163213637,0.5850642487032885,,37.912950789770036,0.5541028022208185,Extensive,Monolingual,,High,72.96699499228453
2.639409280605054,78.12387644499722,40476.678605021865,79.97354214137411,0.9411238867381294,19.199585177089748,26.68268067720474,0.5195485980471319,Extensive,Monolingual,Developing,Low,58.43723428679487
6.867251010877765,70.78906599756262,58283.0935208716,280.0962699192622,0.7258970688589496,47.14985795658705,23.462858650753283,0.6068444775587483,Limited,,Least Developed,Medium,58.35835812346973
7.336054632145997,71.25126515841592,20250.492121679068,,0.8803750232901955,29.10114941578918,27.582868053790687,0.8441592520011556,Extensive,Monolingual,Developed,Medium,55.9765637081714
7.752412900465873,47.81166750300238,42188.02613743646,732.3887603110747,0.7104316289603434,16.730437154303953,52.24918650821013,,Extensive,Monolingual,Developing,Medium,97.93397863214362
3.757705579149638,60.707882810369256,49665.22174633906,951.1384517711815,0.9663706624873876,28.793996710417296,13.1763889587383,0.7975300990837199,Extensive,Bilingual,Developed,High,86.68379627156628
7.2336785458306725,58.38010046078728,7924.448419324576,579.172227698721,0.6805973064383855,,28.49876853019041,0.7469114449679151,None,Bilingual,Developed,Low,81.10934400640971
4.868161504471363,32.195506950564834,37358.863988290024,319.0565976264683,0.7161796784811367,35.02353358457108,83.1349471868747,0.8517229081837264,None,Multilingual,Developing,Low,80.6886200919724
6.959009217662659,51.97470089361825,18587.403909835837,,0.9177504574397892,45.892827349849476,63.512890108909005,0.8890958596876838,Limited,,Least Developed,High,62.71603392261688
5.977028927387412,26.346033044148232,23483.971910284366,775.2793921151904,0.9973061366092488,30.493746897769178,85.02691195948199,0.9745732432250946,Limited,Monolingual,Developing,Low,97.93758037976133
6.001103733135819,38.00424529049743,10076.3941021731,453.02230477297235,0.927483290878663,15.864268834933139,67.99604512043405,0.7574097850099959,Limited,Monolingual,Least Developed,Medium,54.86577747875274
4.626210504286235,44.343888230649355,54621.51887365803,,0.9213114915865016,34.49977790853539,74.36669879211202,0.5370704802690097,None,Bilingual,Developed,High,53.514406771954604
